Sub Status,city,state,american express/premium      ,american express/regular      ,discover/premium              ,discover/regular              ,other card/premium            ,other card/regular            ,store or retail/regular       ,visa/regular                  ,mastercard/regular            ,person 1: technology adoption ,person 1: health well being   ,act/int: wine lovers          ,act/int: do-it-yourselfers    ,act/int:home improve spenders ,act/int: hunting enthusiasts  ,buyer: laptop owners          ,buyer: security sys owners    ,buyer: coupon users           ,buyer: warehouse club members ,lifestyle: life ins policy    ,lifestyle: medical policy     ,lifestyle: medicare policy    ,act/int:video gamer           ,act/int:eats family restaurant,act/int:eats fast food        ,act/int: cat owners           ,act/int: dog owners           ,style: high freq domestic vac ,style: high freq foreign vac  
Expired/Cancelled,BARRINGTON,IL,U,Y,U,U,U,Y,Y,Y,U,2,4,99,31,25,29,29,22,74,10,41,27,99,46,88,50,40,34,14,13
Expired/Cancelled,MARSHFIELD,MA,U,Y,U,U,U,Y,U,Y,U,2,3,99,6,20,27,17,20,17,4,26,12,99,37,64,36,49,33,2,3
Active,SARASOTA,FL,U,Y,U,U,U,Y,U,U,Y,3,3,99,27,21,21,47,3,60,16,4,13,99,90,28,76,31,51,15,27
Expired/Cancelled,MIDDLETOWN,MD,U,Y,U,Y,U,Y,U,Y,Y,2,3,99,20,35,27,49,33,27,37,58,31,99,20,55,33,60,72,22,7
Active,ELLICOTT CITY,MD,U,U,U,U,U,Y,U,U,Y,3,3,99,5,14,24,35,35,45,10,45,31,99,40,48,38,39,33,9,13
Expired/Cancelled,WOODBRIDGE,VA,U,Y,U,U,U,Y,U,Y,Y,2,3,99,5,14,24,35,35,45,10,45,31,99,40,48,38,39,33,9,13
Active,LOS ANGELES,CA,U,Y,U,U,U,Y,U,Y,Y,2,4,99,30,9,29,31,14,48,21,20,10,99,66,92,86,34,39,6,1
Active,LA PORTE,IN,U,U,U,U,U,Y,U,Y,Y,3,4,99,17,27,14,56,36,25,29,41,30,99,60,64,73,26,33,25,23
Active,PANAMA CITY,FL,U,Y,U,U,U,Y,U,Y,Y,2,3,99,32,52,13,36,50,89,78,43,46,99,35,94,20,22,18,74,65
Expired/Cancelled,GREENWOOD,IN,U,U,Y,U,U,Y,U,U,U,1,1,99,30,27,16,45,30,35,20,42,28,99,21,75,35,54,9,16,7
Active,HUNTINGTON WOODS,MI,,,,,,,,,,2,3,99,25,24,32,30,20,48,5,30,10,99,60,93,69,48,34,6,2
Active,GLENVIEW,IL,U,U,U,Y,Y,U,U,U,U,2,4,99,30,24,29,31,20,48,24,53,26,99,35,93,63,67,38,7,2
